2013-06-18 08:38:07,589 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-06-18 08:38:07,601 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 8ms)
2013-06-18 08:38:07,611 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-06-18 08:38:07,750 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 139ms)
2013-06-18 08:38:07,775 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-06-18 08:38:07,781 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
2013-06-18 08:38:07,785 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-06-18 08:38:07,792 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
2013-06-18 08:38:07,792 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-06-18 08:38:07,799 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 2 (took 6ms)
2013-06-18 08:38:07,808 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-06-18 08:38:07,818 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 9ms)
2013-06-18 08:38:07,818 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-06-18 08:38:07,825 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2013-06-18 08:38:08,118 [5] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2013-06-18 08:38:08,513 [5] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2013-06-18 08:38:08,518 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2013-06-18 08:38:08,531 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 12ms)
2013-06-18 08:38:08,613 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2013-06-18 08:38:08,644 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 31ms)
2013-06-18 08:38:08,895 [5] INFO  umbraco.content - [Thread 8] Loading content from disk cache...
2013-06-18 08:38:37,983 [5] INFO  Umbraco.Core.PluginManager - [Thread 11] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2013-06-18 08:38:37,992 [5] INFO  Umbraco.Core.PluginManager - [Thread 11] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 8ms)
2013-06-18 08:50:53,382 [5] INFO  umbraco.BasePages.BasePage - [Thread 21] User Warren Buckley (Id: 0) logged in
2013-06-18 08:50:53,463 [5] INFO  Umbraco.Core.PluginManager - [Thread 8] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2013-06-18 08:50:53,472 [5] INFO  Umbraco.Core.PluginManager - [Thread 8] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 8ms)
2013-06-18 08:50:53,564 [5] INFO  Umbraco.Core.PluginManager - [Thread 8] Starting resolution types of umbraco.interfaces.ITree
2013-06-18 08:50:53,592 [5] INFO  Umbraco.Core.PluginManager - [Thread 8] Completed resolution of types of umbraco.interfaces.ITree, found 37 (took 27ms)
2013-06-18 09:22:34,979 [5] INFO  umbraco.BusinessLogic.Log - [Thread 36] Log scrubbed.  Removed all items older than 2013-04-19 09:22:34
2013-06-18 09:22:34,981 [5] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 36] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2013-06-18 15:31:39,720 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Determining hash of code files on disk
2013-06-18 15:31:39,735 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Hash determined (took 10ms)
2013-06-18 15:31:39,743 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-06-18 15:31:39,909 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 164ms)
2013-06-18 15:31:39,929 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-06-18 15:31:39,936 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
2013-06-18 15:31:39,938 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-06-18 15:31:39,945 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
2013-06-18 15:31:39,945 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-06-18 15:31:39,953 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 2 (took 7ms)
2013-06-18 15:31:39,956 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-06-18 15:31:39,965 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 8ms)
2013-06-18 15:31:39,966 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-06-18 15:31:39,973 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 7ms)
2013-06-18 15:31:40,228 [313] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 312] Initializing Examine and binding to business logic events
2013-06-18 15:31:40,502 [313] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 312] Adding examine event handlers for index providers: 3
2013-06-18 15:31:40,518 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of umbraco.interfaces.IApplication
2013-06-18 15:31:40,532 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 14ms)
2013-06-18 15:31:40,590 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Starting resolution types of umbraco.interfaces.ITree
2013-06-18 15:31:40,627 [313] INFO  Umbraco.Core.PluginManager - [Thread 312] Completed resolution of types of umbraco.interfaces.ITree, found 28 (took 37ms)
